Trust_Event_Id,Frame_Id,Event_Id,Trustee,Trustor,Is_One_Hop,Event_Type,Has_Dropped,Has_Modified,MDR,MMR,Type_MMR,Type_MDR
1,1,1,17,9999,0,2,0,0,0,0,0,0
2,1,2,9,1,1,3,0,0,0,0,0,0
3,1,2,9,6,1,3,0,0,0,0,0,0
4,1,2,9,8,1,3,0,0,0,0,0,0
5,1,2,9,11,1,3,0,0,0,0,0,0
6,1,2,9,26,1,3,0,0,0,0,0,0
7,1,2,9,28,1,3,0,0,0,0,0,0
8,1,2,1,25,1,3,0,0,0,0,0,0
9,1,2,8,4,1,3,0,0,0,0,0,0
10,1,2,8,5,1,3,0,0,0,0,0,0
11,1,2,11,25,1,3,0,0,0,0,0,0
12,1,2,28,4,1,3,0,0,0,0,0,0
13,1,2,9,4,0,3,0,0,0,0,0,0
14,1,2,9,5,0,3,0,0,0,0,0,0
15,1,2,9,25,0,3,0,0,0,0,0,0
16,1,3,25,1,1,3,0,0,0,0,0,0
17,1,3,25,11,1,3,0,0,0,0,0,0
18,1,3,1,6,1,3,0,0,0,0,0,0
19,1,3,1,9,1,3,0,0,0,0,0,0
20,1,3,1,26,1,3,0,0,0,0,0,0
21,1,3,1,28,1,3,0,0,0,0,0,0
22,1,3,11,9,1,3,0,0,0,0,0,0
23,1,3,11,26,1,3,0,0,0,0,0,0
24,1,3,25,6,0,3,0,0,0,0,0,0
25,1,3,25,9,0,3,0,0,0,0,0,0
26,1,3,25,26,0,3,0,0,0,0,0,0
27,1,3,25,28,0,3,0,0,0,0,0,0
28,2,4,17,9999,0,2,0,0,0,0,0,0
29,2,5,25,1,1,3,0,0,0,0,0,0
30,2,5,25,11,1,3,0,0,0,0,0,0
31,2,5,1,6,1,3,0,0,0,0,0,0
32,2,5,1,9,1,3,0,0,0,0,0,0
33,2,5,1,26,1,3,0,0,0,0,0,0
34,2,5,1,28,1,3,0,0,0,0,0,0
35,2,5,11,9,1,3,0,0,0,0,0,0
36,2,5,11,26,1,3,0,0,0,0,0,0
37,2,5,25,6,0,3,0,0,0,0,0,0
38,2,5,25,9,0,3,0,0,0,0,0,0
39,2,5,25,26,0,3,0,0,0,0,0,0
40,2,5,25,28,0,3,0,0,0,0,0,0
41,3,6,5,4,1,1,0,0,0,0,0,0
42,3,6,5,8,1,1,0,0,0,0,0,0
43,3,6,5,34,1,1,0,0,0,0,0,0
44,3,6,5,39,1,1,0,0,0,0,0,0
45,3,6,4,28,1,1,0,0,0,0,0,0
46,3,6,8,6,1,1,0,0,0,0,0,0
47,3,6,8,9,1,1,0,0,0,0,0,0
48,3,6,8,26,1,1,0,0,0,0,0,0
49,3,6,8,28,1,1,0,0,0,0,0,0
50,3,6,5,6,0,1,0,0,0,0,0,0
51,3,6,5,9,0,1,0,0,0,0,0,0
52,3,6,5,26,0,1,0,0,0,0,0,0
53,3,6,5,28,0,1,0,0,0,0,0,0
54,3,7,17,9999,0,2,0,0,0,0,0,0
55,3,8,25,1,1,3,0,0,0,0,0,0
56,3,8,25,11,1,3,0,0,0,0,0,0
57,3,8,1,6,1,3,0,0,0,0,0,0
58,3,8,1,9,1,3,0,0,0,0,0,0
59,3,8,1,26,1,3,0,0,0,0,0,0
60,3,8,1,28,1,3,0,0,0,0,0,0
61,3,8,11,9,1,3,0,0,0,0,0,0
62,3,8,11,26,1,3,0,0,0,0,0,0
63,3,8,25,6,0,3,0,0,0,0,0,0
64,3,8,25,9,0,3,0,0,0,0,0,0
65,3,8,25,26,0,3,0,0,0,0,0,0
66,3,8,25,28,0,3,0,0,0,0,0,0
67,4,9,5,4,1,1,0,0,0,0,0,0
68,4,9,5,8,1,1,0,0,0,0,0,0
69,4,9,5,34,1,1,0,0,0,0,0,0
70,4,9,5,39,1,1,0,0,0,0,0,0
71,4,9,4,28,1,1,0,0,0,0,0,0
72,4,9,8,6,1,1,0,0,0,0,0,0
73,4,9,8,9,1,1,0,0,0,0,0,0
74,4,9,8,26,1,1,0,0,0,0,0,0
75,4,9,8,28,1,1,0,0,0,0,0,0
76,4,9,5,6,0,1,0,0,0,0,0,0
77,4,9,5,9,0,1,0,0,0,0,0,0
78,4,9,5,26,0,1,0,0,0,0,0,0
79,4,9,5,28,0,1,0,0,0,0,0,0
80,4,10,17,9999,0,2,0,0,0,0,0,0
81,5,11,5,4,1,1,0,0,0,0,0,0
82,5,11,5,8,1,1,0,0,0,0,0,0
83,5,11,5,34,1,1,0,0,0,0,0,0
84,5,11,5,39,1,1,0,0,0,0,0,0
85,5,11,4,28,1,1,0,0,0,0,0,0
86,5,11,8,6,1,1,0,0,0,0,0,0
87,5,11,8,9,1,1,0,0,0,0,0,0
88,5,11,8,26,1,1,0,0,0,0,0,0
89,5,11,8,28,1,1,0,0,0,0,0,0
90,5,11,5,6,0,1,0,0,0,0,0,0
91,5,11,5,9,0,1,0,0,0,0,0,0
92,5,11,5,26,0,1,0,0,0,0,0,0
93,5,11,5,28,0,1,0,0,0,0,0,0
94,5,12,34,5,1,3,0,0,0,0,0,0
95,5,12,34,39,1,3,0,0,0,0,0,0
96,5,12,5,4,1,3,0,0,0,0,0,0
97,5,12,5,8,1,3,0,0,0,0,0,0
98,5,12,34,4,0,3,0,0,0,0,0,0
